Bereich,Aspekt,Frage,Team,Wert
Lernkultur,Innovation,Innovativ,Team 15,8
Lernkultur,Innovation,Innovativ,Team 5,10
Lernkultur,Innovation,Innovativ,Team 13,10
Lernkultur,Weiterbildung,Weiterbildung,Team 1,8
Lernkultur,Weiterbildung,Weiterbildung,Team 2,3
Lernkultur,Weiterbildung,Weiterbildung,Team 3,8
Lernkultur,Weiterbildung,Weiterbildung,Team 4,5
Lernkultur,Weiterbildung,Weiterbildung,Team 5,7
Lernkultur,Weiterbildung,Weiterbildung,Team 6,1
Lernkultur,Weiterbildung,Weiterbildung,Team 7,2
Lernkultur,Weiterbildung,Weiterbildung,Team 9,5
Lernkultur,Weiterbildung,Weiterbildung,Team 10,1
Lernkultur,Weiterbildung,Weiterbildung,Team 11,8
Lernkultur,Weiterbildung,Weiterbildung,Team 12,6
Lernkultur,Weiterbildung,Weiterbildung,Team 13,4
Lernkultur,Weiterbildung,Weiterbildung,Team 14,7
Lernkultur,Weiterbildung,Weiterbildung,Team 15,2
Lernkultur,Weiterbildung,Weiterbildung,Team 8,10
Teamstruktur,Organisation,Organisation,Team 1,5
Teamstruktur,Organisation,Organisation,Team 2,3
Teamstruktur,Organisation,Organisation,Team 3,8
Teamstruktur,Organisation,Organisation,Team 4,3
Teamstruktur,Organisation,Organisation,Team 5,8
Teamstruktur,Organisation,Organisation,Team 6,2
Teamstruktur,Organisation,Organisation,Team 7,9
Teamstruktur,Organisation,Organisation,Team 8,5
Teamstruktur,Organisation,Organisation,Team 9,3
Teamstruktur,Organisation,Organisation,Team 10,6
Teamstruktur,Organisation,Organisation,Team 11,5
Teamstruktur,Organisation,Organisation,Team 12,5
Teamstruktur,Organisation,Organisation,Team 13,3
Teamstruktur,Organisation,Organisation,Team 14,5
Teamstruktur,Organisation,Organisation,Team 15,10
Teamstruktur,Rollen,Rollen,Team 1,1
Teamstruktur,Rollen,Rollen,Team 2,9
Teamstruktur,Rollen,Rollen,Team 3,6
Teamstruktur,Rollen,Rollen,Team 4,7
Teamstruktur,Rollen,Rollen,Team 5,5
Teamstruktur,Rollen,Rollen,Team 6,6
Teamstruktur,Rollen,Rollen,Team 7,3
Teamstruktur,Rollen,Rollen,Team 8,7
Teamstruktur,Rollen,Rollen,Team 9,4
Teamstruktur,Rollen,Rollen,Team 10,2
Teamstruktur,Rollen,Rollen,Team 11,6
Teamstruktur,Rollen,Rollen,Team 12,9
Teamstruktur,Rollen,Rollen,Team 13,1
Teamstruktur,Rollen,Rollen,Team 14,4
Teamstruktur,Rollen,Rollen,Team 15,5
Teamstruktur,Ziele,Ziele,Team 1,6
Teamstruktur,Ziele,Ziele,Team 2,9
Teamstruktur,Ziele,Ziele,Team 3,1
Teamstruktur,Ziele,Ziele,Team 4,1
Teamstruktur,Ziele,Ziele,Team 5,8
Teamstruktur,Ziele,Ziele,Team 6,6
Teamstruktur,Ziele,Ziele,Team 7,1
Teamstruktur,Ziele,Ziele,Team 8,8
Teamstruktur,Ziele,Ziele,Team 9,1
Teamstruktur,Ziele,Ziele,Team 10,8
Teamstruktur,Ziele,Ziele,Team 11,3
Teamstruktur,Ziele,Ziele,Team 12,6
Teamstruktur,Ziele,Ziele,Team 13,5
Teamstruktur,Ziele,Ziele,Team 14,5
Teamstruktur,Ziele,Ziele,Team 15,4
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 1,6
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 2,4
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 3,4
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 5,6
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 7,1
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 8,1
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 10,3
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 11,3
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 12,5
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 14,1
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 15,2
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 4,10
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 6,10
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 9,10
Teamstruktur,Zielüberprüfung,ZielÜberprüfung,Team 13,10
Zusammenarbeit,Entscheidungen,Transparenz,Team 1,3
Zusammenarbeit,Entscheidungen,Transparenz,Team 2,4
Zusammenarbeit,Entscheidungen,Transparenz,Team 3,9
Zusammenarbeit,Entscheidungen,Transparenz,Team 4,8
Zusammenarbeit,Entscheidungen,Transparenz,Team 7,1
Zusammenarbeit,Entscheidungen,Transparenz,Team 8,8
Zusammenarbeit,Entscheidungen,Transparenz,Team 9,7
Zusammenarbeit,Entscheidungen,Transparenz,Team 10,2
Zusammenarbeit,Entscheidungen,Transparenz,Team 11,6
Zusammenarbeit,Entscheidungen,Transparenz,Team 12,8
Zusammenarbeit,Entscheidungen,Transparenz,Team 13,7
Zusammenarbeit,Entscheidungen,Transparenz,Team 14,1
Zusammenarbeit,Entscheidungen,Transparenz,Team 15,3
Zusammenarbeit,Entscheidungen,Transparenz,Team 5,10
Zusammenarbeit,Entscheidungen,Transparenz,Team 6,10
Zusammenarbeit,Flexibilität,Flexibilität,Team 1,9
Zusammenarbeit,Flexibilität,Flexibilität,Team 2,6
Zusammenarbeit,Flexibilität,Flexibilität,Team 3,5
Zusammenarbeit,Flexibilität,Flexibilität,Team 4,7
Zusammenarbeit,Flexibilität,Flexibilität,Team 5,8
Zusammenarbeit,Flexibilität,Flexibilität,Team 6,8
Zusammenarbeit,Flexibilität,Flexibilität,Team 8,7
Zusammenarbeit,Flexibilität,Flexibilität,Team 9,3
Zusammenarbeit,Flexibilität,Flexibilität,Team 11,7
Zusammenarbeit,Flexibilität,Flexibilität,Team 12,5
Zusammenarbeit,Flexibilität,Flexibilität,Team 13,8
Zusammenarbeit,Flexibilität,Flexibilität,Team 14,7
Zusammenarbeit,Flexibilität,Flexibilität,Team 15,6
Zusammenarbeit,Flexibilität,Flexibilität,Team 7,10
Zusammenarbeit,Flexibilität,Flexibilität,Team 10,10
Zusammenarbeit,Kommunikation,Kommunikation,Team 1,8
Zusammenarbeit,Kommunikation,Kommunikation,Team 2,6
Zusammenarbeit,Kommunikation,Kommunikation,Team 3,9
Zusammenarbeit,Kommunikation,Kommunikation,Team 4,3
Zusammenarbeit,Kommunikation,Kommunikation,Team 5,7
Zusammenarbeit,Kommunikation,Kommunikation,Team 6,7
Zusammenarbeit,Kommunikation,Kommunikation,Team 7,7
Zusammenarbeit,Kommunikation,Kommunikation,Team 8,1
Zusammenarbeit,Kommunikation,Kommunikation,Team 9,4
Zusammenarbeit,Kommunikation,Kommunikation,Team 10,3
Zusammenarbeit,Kommunikation,Kommunikation,Team 11,3
Zusammenarbeit,Kommunikation,Kommunikation,Team 12,9
Zusammenarbeit,Kommunikation,Kommunikation,Team 14,3
Zusammenarbeit,Kommunikation,Kommunikation,Team 15,8
Zusammenarbeit,Kommunikation,Kommunikation,Team 13,10
Zusammenarbeit,Konfliktlösung,Konflikte,Team 1,7
Zusammenarbeit,Konfliktlösung,Konflikte,Team 2,8
Zusammenarbeit,Konfliktlösung,Konflikte,Team 3,3
Zusammenarbeit,Konfliktlösung,Konflikte,Team 4,3
Zusammenarbeit,Konfliktlösung,Konflikte,Team 5,7
Zusammenarbeit,Konfliktlösung,Konflikte,Team 6,5
Zusammenarbeit,Konfliktlösung,Konflikte,Team 7,5
Zusammenarbeit,Konfliktlösung,Konflikte,Team 8,3
Zusammenarbeit,Konfliktlösung,Konflikte,Team 10,2
Zusammenarbeit,Konfliktlösung,Konflikte,Team 11,9
Zusammenarbeit,Konfliktlösung,Konflikte,Team 12,1
Zusammenarbeit,Konfliktlösung,Konflikte,Team 13,2
Zusammenarbeit,Konfliktlösung,Konflikte,Team 14,8
Zusammenarbeit,Konfliktlösung,Konflikte,Team 15,7
Zusammenarbeit,Konfliktlösung,Konflikte,Team 9,10
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 1,7
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 2,1
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 3,4
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 4,7
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 5,7
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 6,9
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 7,7
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 8,6
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 9,8
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 10,5
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 11,5
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 12,6
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 13,9
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 14,6
Zusammenarbeit,Teamübergreifende Zusammenarbeit,Zusammenarbeit,Team 15,2
Zusammenarbeit,Vertrauen,Vertrauen,Team 2,7
Zusammenarbeit,Vertrauen,Vertrauen,Team 3,8
Zusammenarbeit,Vertrauen,Vertrauen,Team 4,2
Zusammenarbeit,Vertrauen,Vertrauen,Team 5,2
Zusammenarbeit,Vertrauen,Vertrauen,Team 6,5
Zusammenarbeit,Vertrauen,Vertrauen,Team 7,9
Zusammenarbeit,Vertrauen,Vertrauen,Team 8,9
Zusammenarbeit,Vertrauen,Vertrauen,Team 9,7
Zusammenarbeit,Vertrauen,Vertrauen,Team 1,10
Zusammenarbeit,Vertrauen,Vertrauen,Team 11,8
Zusammenarbeit,Vertrauen,Vertrauen,Team 12,9
Zusammenarbeit,Vertrauen,Vertrauen,Team 13,9
Zusammenarbeit,Vertrauen,Vertrauen,Team 14,8
Zusammenarbeit,Vertrauen,Vertrauen,Team 15,2
Zusammenarbeit,Vertrauen,Vertrauen,Team 10,10
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 1,5
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 2,6
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 3,1
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 4,4
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 5,6
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 6,1
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 7,4
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 8,4
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 10,5
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 11,2
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 12,6
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 13,6
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 14,6
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 15,6
Zusammenarbeit,Wissensaustausch,Wissensaustausch,Team 9,10
